what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266226071810
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266226071827
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266226342790
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266226344272
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266227363280
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266227364487
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266227369734
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266227370190
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266228870556
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266228875380
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266230687953
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266230689035
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266230774635
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266230776195
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266232743518
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1266232754333
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266232755438
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1266232756209
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266232756406
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266232774692
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266232775419
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266232775800
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266232835952
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266232839747
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266233137745
