what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266332021294
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1266332034939
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266332035782
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266332036477
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266332040164
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1266332040343
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266332040385
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266332043792
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1266332051027
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1266332063422
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266332078900
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266332079059
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1266332087072
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266332088932
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266332090156
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266332137517
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266332139290
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266332185961
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266332590754
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266332592056
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266332635789
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266332644468
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266332648449
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266332689162
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266332692745
